,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
38,ATVI,0.8003245942571784,0.0550913343451269,0.5134529147982063,0.7600223964165733,0.03756093401765112,0.5201698513800425,0.8047690387016229,0.05094149443839897,0.5134529147982063,both,0.8047690387016229
107,DHI,0.8363046192259675,0.023248396410257628,0.5874439461883408,0.7579843225083985,0.022438862353879242,0.5796178343949044,0.836354556803995,0.03784616139255046,0.5874439461883408,both,0.836354556803995
117,EA,0.8205243445692885,0.04411622553674397,0.5605381165919282,0.7218589025755879,0.010605690583135846,0.564755838641189,0.8249687890137329,0.06285195229888005,0.5605381165919282,both,0.8249687890137329
134,F,0.7757802746566791,0.02564137812222769,0.6210762331838565,0.7175811870100783,0.0649019016206717,0.6093418259023354,0.7937578027465667,0.037779683807111074,0.6210762331838565,both,0.7937578027465667
162,GM,0.8229213483146068,0.035514150589012874,0.5381165919282511,0.7579843225083986,0.02616447886600012,0.5329087048832272,0.8048938826466916,0.03003304232960169,0.5381165919282511,stock,0.8229213483146068
170,HAS,0.8071910112359549,0.04219456440101962,0.5269058295964125,0.7218589025755879,0.017133536801788588,0.5329087048832272,0.8228714107365793,0.022891682079599032,0.5269058295964125,both,0.8228714107365793
229,LKQ,0.7913857677902623,0.031147000578714317,0.6143497757847534,0.7304591265397536,0.05043372660666099,0.6050955414012739,0.7779026217228464,0.040952620023480615,0.6143497757847534,stock,0.7913857677902623
249,MHK,0.8363295880149814,0.01673281490913009,0.5695067264573991,0.777178051511758,0.04183518729142598,0.5605095541401274,0.8228963795255929,0.01905162779302664,0.5695067264573991,stock,0.8363295880149814
286,NVR,0.8206242197253435,0.007151019326278232,0.5695067264573991,0.7559014557670773,0.04953788650632664,0.5626326963906582,0.8273408239700375,0.0058503742890686685,0.5695067264573991,both,0.8273408239700375
303,PHM,0.8161548064918851,0.016667036051025024,0.5784753363228701,0.7198208286674131,0.033305210999752165,0.5711252653927813,0.7982771535580525,0.032813434959449744,0.5784753363228701,stock,0.8161548064918851
353,SWK,0.8250936329588014,0.0338656316268384,0.5739910313901345,0.7177379619260918,0.03795737386283077,0.5711252653927813,0.8206242197253433,0.04767681565956206,0.5739910313901345,stock,0.8250936329588014
369,TTWO,0.8205493133583021,0.03440601278938625,0.5336322869955157,0.7686450167973125,0.023869264003108983,0.5392781316348195,0.8025468164794007,0.037166241643162345,0.5336322869955157,stock,0.8205493133583021
397,WHR,0.8341822721598003,0.041758565956821536,0.5582959641255605,0.7281970884658454,0.030854540972200164,0.5520169851380042,0.8229712858926341,0.04521626398907227,0.5582959641255605,stock,0.8341822721598003
