,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
8,ACN,0.8430711610486892,0.03321318243804549,0.7017937219730942,0.7877267637178053,0.04491241596359672,0.6900212314225053,0.8452684144818976,0.029747836607623725,0.7017937219730942,both,0.8452684144818976
11,ADP,0.7914357053682897,0.03821314704196285,0.5986547085201793,0.7325643896976484,0.03315141759908241,0.5987261146496815,0.7914856429463171,0.02889487689315077,0.5986547085201793,both,0.7914856429463171
12,ADSK,0.7600749063670412,0.02631719837851641,0.5874439461883408,0.7006494960806272,0.02622556308226675,0.5796178343949044,0.7869912609238451,0.02753870665300713,0.5874439461883408,both,0.7869912609238451
17,AKAM,0.8274157303370787,0.02143212407652379,0.5717488789237668,0.7772004479283314,0.055207353111220415,0.5796178343949044,0.8274656679151061,0.03145869244496747,0.5717488789237668,both,0.8274656679151061
58,BR,0.8069662921348314,0.04778861843063313,0.6076233183856502,0.7263381858902576,0.07688838226047418,0.6008492569002123,0.8070661672908864,0.03334259948732403,0.6076233183856502,both,0.8070661672908864
71,CDNS,0.8228464419475655,0.04795762787268648,0.6524663677130045,0.7622396416573348,0.02537301489763841,0.6518046709129511,0.8205742821473159,0.04677224043831536,0.6524663677130045,stock,0.8228464419475655
94,CRM,0.7982022471910113,0.049751814287225735,0.5739910313901345,0.7197088465845465,0.05123911488094371,0.5668789808917197,0.8183270911360798,0.05934962973691366,0.5739910313901345,both,0.8183270911360798
95,CSCO,0.8183770287141072,0.04348659948012565,0.600896860986547,0.7452855543113102,0.025335841690528098,0.6050955414012739,0.8206991260923845,0.050939658651094136,0.600896860986547,both,0.8206991260923845
98,CTSH,0.7893133583021223,0.0262466513454079,0.5717488789237668,0.6986562150055989,0.05177812236554395,0.5626326963906582,0.7691385767790262,0.034610956826149036,0.5717488789237668,stock,0.7893133583021223
99,CTXS,0.8206491885143571,0.04193609022040968,0.5,0.7175363941769317,0.07715370798011842,0.5201698513800425,0.8117353308364544,0.0562734688267182,0.5,stock,0.8206491885143571
137,FB,0.8272908863920101,0.04657436186050478,0.5784753363228701,0.7324748040313549,0.05101075806343287,0.5753715498938429,0.8093383270911361,0.042918610230337585,0.5784753363228701,stock,0.8272908863920101
144,FIS,0.8049188514357054,0.0380630823850502,0.5134529147982063,0.7387905935050392,0.03878155371315956,0.5095541401273885,0.8004244694132335,0.032226147239324765,0.5134529147982063,stock,0.8049188514357054
145,FISV,0.7870911360799001,0.022476293094552027,0.5022421524663677,0.6964165733482643,0.013785171788106744,0.5031847133757962,0.7825717852684144,0.01587151046019126,0.5022421524663677,stock,0.7870911360799001
163,GOOG,0.8474906367041198,0.03163710117342397,0.6748878923766816,0.7578723404255319,0.034423401559415624,0.6666666666666666,0.8542072409488141,0.02487227288557389,0.6748878923766816,both,0.8542072409488141
165,GPN,0.7961048689138577,0.05312208299229819,0.4775784753363229,0.7260694288913774,0.03552635064597566,0.4734607218683652,0.7825468164794007,0.0421900428946429,0.4775784753363229,stock,0.7961048689138577
190,IBM,0.8026217228464421,0.044403746322933126,0.531390134529148,0.7070548712206047,0.021150685380628642,0.535031847133758,0.8161548064918852,0.037937575069467634,0.531390134529148,both,0.8161548064918852
197,INTU,0.8453433208489388,0.028444086743251582,0.6502242152466368,0.7303247480403134,0.03294728308893555,0.6411889596602972,0.8363795255930088,0.033452922239968534,0.6502242152466368,stock,0.8453433208489388
203,IT,0.7780024968789013,0.024189125681937016,0.6322869955156951,0.7282642777155657,0.0472102755580246,0.6220806794055201,0.7802496878901373,0.01703200879012411,0.6322869955156951,both,0.7802496878901373
208,JKHY,0.7600749063670411,0.011709377096430941,0.5134529147982063,0.7622396416573348,0.02253845218844915,0.5159235668789809,0.7690137328339576,0.026546931083828315,0.5134529147982063,both,0.7690137328339576
210,JNPR,0.8002996254681648,0.03772366748771077,0.5919282511210763,0.7494960806270997,0.03447811764840614,0.5923566878980892,0.7959300873907615,0.013559592778691608,0.5919282511210763,stock,0.8002996254681648
226,LDOS,0.8407990012484394,0.013181628888604337,0.5493273542600897,0.7538409854423292,0.04974664099046495,0.5498938428874734,0.8453183520599252,0.012734082397003731,0.5493273542600897,both,0.8453183520599252
262,MSCI,0.8295131086142321,0.05587954734540826,0.6165919282511211,0.7537961926091825,0.043786546656984636,0.6157112526539278,0.825043695380774,0.03176728697704573,0.6165919282511211,stock,0.8295131086142321
263,MSFT,0.8273408239700375,0.023220973782771555,0.6300448430493274,0.7515341545352744,0.0398901116316165,0.6284501061571125,0.8452684144818976,0.019492230214521688,0.6300448430493274,both,0.8452684144818976
271,NFLX,0.7981523096129838,0.0343520450432711,0.5246636771300448,0.6985890257558791,0.046824346191107834,0.5307855626326964,0.804943820224719,0.013286962246377059,0.5246636771300448,both,0.804943820224719
278,NOW,0.8070411985018726,0.03767008355141495,0.5964125560538116,0.7303023516237402,0.02623543042605727,0.5796178343949044,0.8137578027465666,0.03712317364689873,0.5964125560538116,both,0.8137578027465666
295,PAYX,0.795880149812734,0.05219313112103322,0.6121076233183856,0.7346696528555431,0.04209892497147427,0.6050955414012739,0.8025468164794007,0.04941458975326685,0.6121076233183856,both,0.8025468164794007
331,ROP,0.8340823970037453,0.01930202056438221,0.600896860986547,0.7581187010078387,0.058332884728506174,0.5987261146496815,0.8340823970037453,0.031281817255162686,0.600896860986547,stock,0.8340823970037453
