,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
10,ADM,0.8025468164794007,0.0574480560632839,0.6255605381165921,0.7558790593505039,0.01258989412994868,0.6220806794055201,0.8137578027465668,0.038459424988387315,0.6255605381165921,both,0.8137578027465668
18,ALB,0.7623720349563047,0.0554861101400334,0.5964125560538116,0.7112430011198209,0.02647987726862876,0.583864118895966,0.8048689138576778,0.061546418881337724,0.5964125560538116,both,0.8048689138576778
35,APD,0.8385518102372036,0.02321458304122546,0.5493273542600897,0.7325419932810749,0.041262053132695015,0.5435244161358811,0.8295880149812735,0.0149812734082397,0.5493273542600897,stock,0.8385518102372036
40,AVY,0.7958302122347065,0.04503331359026055,0.5874439461883408,0.7219260918253079,0.04592125120938742,0.5774946921443737,0.8003245942571786,0.040262789725157504,0.5874439461883408,both,0.8003245942571786
72,CF,0.8183770287141072,0.027011383210038323,0.5291479820627802,0.7494064949608064,0.032403551597167485,0.5286624203821656,0.8139325842696629,0.027828899919843088,0.5291479820627802,stock,0.8183770287141072
119,ECL,0.8565543071161048,0.02015524201808795,0.5964125560538116,0.7749832026875699,0.031549437022649736,0.5859872611464968,0.8430461922596754,0.012328211570314765,0.5964125560538116,stock,0.8565543071161048
124,EMN,0.8071410736579276,0.04639563824877449,0.5986547085201793,0.7452631578947368,0.046362767799350314,0.5966029723991507,0.8273408239700375,0.044194756554307095,0.5986547085201793,both,0.8273408239700375
150,FMC,0.8297128589263421,0.035781241683241635,0.5156950672645739,0.7219708846584546,0.0328764901383446,0.5159235668789809,0.8319350811485642,0.0403077310008832,0.5156950672645739,both,0.8319350811485642
198,IP,0.7891885143570537,0.034634653565751995,0.5605381165919282,0.7176483762597985,0.0138250668597093,0.5562632696390658,0.7824469413233459,0.048752965622890235,0.5605381165919282,stock,0.7891885143570537
237,LYB,0.800374531835206,0.026472804564902325,0.5582959641255605,0.6983650615901456,0.05511564728940078,0.5562632696390658,0.8115855181023721,0.040101647496680826,0.5582959641255605,both,0.8115855181023721
256,MOS,0.8094631710362048,0.015233908149054613,0.6098654708520179,0.7366853303471446,0.036144694037505726,0.6050955414012739,0.7892883895131086,0.014048888334981456,0.6098654708520179,stock,0.8094631710362048
304,PKG,0.8183770287141074,0.05146420552667472,0.5762331838565022,0.7920268756998879,0.07231349628259676,0.5711252653927813,0.8250936329588014,0.040643175928840536,0.5762331838565022,both,0.8250936329588014
311,PPG,0.8002996254681648,0.04154596412628003,0.5627802690582959,0.7600223964165733,0.04101755575565034,0.5583864118895966,0.8249937578027466,0.034935110393166977,0.5627802690582959,both,0.8249937578027466
338,SEE,0.7780774032459425,0.0316894757564316,0.594170403587444,0.7303919372900336,0.035715269946379934,0.5923566878980892,0.7982771535580524,0.042827580249005306,0.594170403587444,both,0.7982771535580524
340,SHW,0.8250936329588014,0.018409296969954327,0.6636771300448431,0.7346920492721164,0.04504221731080516,0.6539278131634819,0.8049438202247192,0.023022469168297897,0.6636771300448431,stock,0.8250936329588014
401,WRK,0.8116354556803994,0.02196606419322623,0.5403587443946188,0.702821948488242,0.04040517148489207,0.5456475583864119,0.7914107365792759,0.020193314190950308,0.5403587443946188,stock,0.8116354556803994
