,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
65,CAG,0.8161298377028714,0.027230682441410813,0.5358744394618834,0.7004703247480404,0.06558271195564921,0.5414012738853503,0.8003245942571786,0.059498250932481435,0.5358744394618834,stock,0.8161298377028714
74,CHD,0.8160799001248442,0.036913498276917235,0.5493273542600897,0.7368197088465845,0.02531393561120193,0.5414012738853503,0.8295630461922597,0.03865974940638178,0.5493273542600897,both,0.8295630461922597
78,CL,0.8139076154806493,0.011322623158822513,0.5336322869955157,0.7409182530795073,0.042113279835336484,0.5286624203821656,0.81832709113608,0.02729379888124632,0.5336322869955157,both,0.81832709113608
79,CLX,0.7916853932584269,0.05417361869027903,0.5,0.7431354983202688,0.03222356380472933,0.5074309978768577,0.8095630461922596,0.03444350097510606,0.5,both,0.8095630461922596
91,CPB,0.7892134831460674,0.0195596001321249,0.5179372197309418,0.6796416573348264,0.0593511969365189,0.5180467091295117,0.7847440699126093,0.004819946471715817,0.5179372197309418,stock,0.7892134831460674
123,EL,0.8026716604244694,0.032352999444760513,0.600896860986547,0.7559014557670771,0.015355908301012331,0.5944798301486199,0.8094382022471909,0.032421912443813816,0.600896860986547,both,0.8094382022471909
161,GIS,0.7958801498127341,0.05072106971454742,0.5156950672645739,0.6773572228443449,0.028035751608267552,0.5201698513800425,0.7981523096129838,0.040429581599901565,0.5156950672645739,both,0.7981523096129838
184,HRL,0.8116354556803994,0.019532297031361712,0.4865470852017938,0.7197088465845465,0.03363864230895865,0.4968152866242038,0.8162047440699126,0.03183480453101741,0.4865470852017938,both,0.8162047440699126
187,HSY,0.8386766541822721,0.04122031730514285,0.5807174887892377,0.7176707726763718,0.04458177600139599,0.5796178343949044,0.8296878901373284,0.05393988945762917,0.5807174887892377,stock,0.8386766541822721
194,IFF,0.8160799001248439,0.036913498276917235,0.5493273542600897,0.7346472564389698,0.05402072318215016,0.5435244161358811,0.8139076154806493,0.038622092178715726,0.5493273542600897,stock,0.8160799001248439
212,K,0.8183021223470662,0.02232600713706404,0.5112107623318386,0.7218365061590146,0.04347068878420241,0.5095541401273885,0.7913607990012486,0.037146845405979866,0.5112107623318386,stock,0.8183021223470662
216,KHC,0.8116354556803994,0.047963113482066805,0.5672645739910314,0.7579395296752519,0.032690376133977336,0.5711252653927813,0.8161048689138577,0.04541574948681385,0.5672645739910314,both,0.8161048689138577
218,KMB,0.8250936329588014,0.03154972238000403,0.5112107623318386,0.7452855543113103,0.04047012024233627,0.5095541401273885,0.8318352059925094,0.0355391046120643,0.5112107623318386,both,0.8318352059925094
220,KO,0.8251935081148565,0.03089380909028307,0.5807174887892377,0.734602463605823,0.03085304530028951,0.5753715498938429,0.8273907615480649,0.020487739637547374,0.5807174887892377,both,0.8273907615480649
245,MDLZ,0.8161048689138577,0.026440992651270097,0.5605381165919282,0.738902575587906,0.045608508348527546,0.5626326963906582,0.8117103620474406,0.02126344183438041,0.5605381165919282,stock,0.8161048689138577
254,MNST,0.8431210986267168,0.043486255405639065,0.5739910313901345,0.7537737961926092,0.03903756442668672,0.5711252653927813,0.8430961298377028,0.04302480995801017,0.5739910313901345,stock,0.8431210986267168
255,MO,0.8340574282147315,0.032976426263996696,0.5919282511210763,0.7388577827547592,0.01964192547709418,0.5859872611464968,0.8116853932584269,0.03635730052342773,0.5919282511210763,stock,0.8340574282147315
299,PEP,0.8094631710362048,0.04179751415799431,0.5762331838565022,0.7388801791713326,0.01541166408778486,0.5711252653927813,0.8273657927590513,0.04352013368009098,0.5762331838565022,both,0.8273657927590513
301,PG,0.8476154806491886,0.040181415007335436,0.5807174887892377,0.7750055991041434,0.028321187535380838,0.5774946921443737,0.8430212234706616,0.035639620634097584,0.5807174887892377,stock,0.8476154806491886
307,PM,0.8071910112359552,0.04337486154227338,0.5695067264573991,0.7643225083986562,0.01711115540634079,0.5668789808917197,0.7914107365792759,0.03486758851098227,0.5695067264573991,stock,0.8071910112359552
314,PVH,0.7958801498127341,0.04971548616043482,0.5582959641255605,0.7219260918253081,0.03840560343960326,0.554140127388535,0.7958551810237203,0.07352917925406548,0.5582959641255605,stock,0.7958801498127341
358,TAP,0.8407990012484394,0.01938427294989616,0.4910313901345291,0.7748936170212766,0.04352923183844908,0.4904458598726114,0.8319101123595505,0.04788995507405838,0.4910313901345291,stock,0.8407990012484394
368,TSN,0.8004744069912608,0.0237443075015458,0.5538116591928252,0.7027995520716686,0.0514208750826424,0.5477707006369427,0.8072159800249687,0.03410835283162982,0.5538116591928252,both,0.8072159800249687
375,UA,0.8340574282147315,0.058829264710730994,0.5470852017937221,0.7537513997760359,0.04305765693527616,0.5392781316348195,0.8250936329588014,0.049596840021713405,0.5470852017937221,stock,0.8340574282147315
387,VFC,0.8070661672908864,0.02931272025116598,0.5089686098654709,0.7388577827547592,0.053201036450933985,0.5031847133757962,0.8071660424469413,0.014994085241658276,0.5089686098654709,both,0.8071660424469413
