,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
5,ABC,0.7445692883895131,0.04084973244774828,0.5358744394618834,0.7176931690929452,0.028991034490991087,0.5329087048832272,0.742322097378277,0.04534156090013949,0.5358744394618834,stock,0.7445692883895131
66,CAH,0.8227715355805245,0.05454418101182855,0.4955156950672646,0.7282418812989923,0.03836901638690045,0.494692144373673,0.8205493133583021,0.03920796394780003,0.4955156950672646,stock,0.8227715355805245
136,FAST,0.7892634207240949,0.029431413935355137,0.6210762331838565,0.7092049272116461,0.03526261558292505,0.6114649681528662,0.7757303370786517,0.04346790082022542,0.6210762331838565,stock,0.7892634207240949
164,GPC,0.7980524344569289,0.034673153197219524,0.5986547085201793,0.7516237402015677,0.02535992443384733,0.5881104033970276,0.8092384519350813,0.04425466925088669,0.5986547085201793,both,0.8092384519350813
168,GWW,0.775705368289638,0.025205568939175485,0.5717488789237668,0.7366629339305709,0.0368950357872048,0.5732484076433121,0.7980774032459425,0.05445930431383515,0.5717488789237668,both,0.7980774032459425
185,HSIC,0.8183770287141074,0.02065484873972115,0.5493273542600897,0.7579619260918252,0.0352029779613154,0.5392781316348195,0.8296129837702871,0.012851142450944928,0.5493273542600897,both,0.8296129837702871
243,MCK,0.7891885143570537,0.043081805845937036,0.5582959641255605,0.7346472564389698,0.025588491567687936,0.5498938428874734,0.7892134831460675,0.026183391754839597,0.5582959641255605,both,0.7892134831460675
