,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
169,HAL,0.8228214731585519,0.03671230598241454,0.5582959641255605,0.7367749160134378,0.039120622908862236,0.5583864118895966,0.8183770287141072,0.025072245094924117,0.5582959641255605,stock,0.8228214731585519
291,OKE,0.7691385767790262,0.040649801993487285,0.5852017937219731,0.6987458006718925,0.07193749921526349,0.5732484076433121,0.762322097378277,0.02607946684283319,0.5852017937219731,stock,0.7691385767790262
315,PWR,0.7735330836454433,0.03986101186217736,0.6278026905829597,0.7218812989921612,0.03444242663852725,0.6263269639065817,0.7915106117353309,0.0378093757432547,0.6278026905829597,both,0.7915106117353309
333,RSG,0.8206991260923845,0.03046953507959545,0.6165919282511211,0.7833146696528555,0.0339510764822167,0.6050955414012739,0.8206741573033707,0.03995705307126809,0.6165919282511211,stock,0.8206991260923845
342,SLB,0.8206991260923845,0.03128723769169298,0.531390134529148,0.7495632698768198,0.031079787373998725,0.524416135881104,0.8228464419475655,0.03141605539402364,0.531390134529148,both,0.8228464419475655
398,WM,0.8094631710362048,0.03524266513318435,0.5829596412556054,0.7261142217245241,0.05684285533520224,0.564755838641189,0.7936579275905118,0.03555913236508339,0.5829596412556054,stock,0.8094631710362048
399,WMB,0.8070162297128588,0.040301698412203504,0.5470852017937221,0.7620380739081746,0.04502320379165648,0.5456475583864119,0.8226716604244693,0.045555663326989314,0.5470852017937221,both,0.8226716604244693
