,Unnamed: 0,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
31,ANTM,0.8250187265917603,0.0310463171636124,0.5672645739910314,0.6920492721164614,0.043645726107179365,0.5626326963906582,0.8071161048689138,0.022220819436990776,0.5672645739910314,stock,0.8250187265917603
83,CNC,0.7983021223470662,0.03018783385411148,0.4977578475336323,0.7090257558790595,0.039052094110059034,0.5074309978768577,0.8252434456928839,0.037171676142907666,0.4977578475336323,both,0.8252434456928839
106,DGX,0.8339575530586767,0.053621891417912064,0.594170403587444,0.7452631578947368,0.01713075536682292,0.5859872611464968,0.8429213483146067,0.05294221778922148,0.594170403587444,both,0.8429213483146067
115,DVA,0.802521847690387,0.04517504675316667,0.5381165919282511,0.7623516237402017,0.04071705490650108,0.5265392781316348,0.804769038701623,0.03718961776870408,0.5381165919282511,both,0.804769038701623
173,HCA,0.8183021223470661,0.03883843563894111,0.6098654708520179,0.7580291153415454,0.02383944688825827,0.6029723991507431,0.7913108614232209,0.07263924974846765,0.6098654708520179,stock,0.8183021223470661
189,HUM,0.8496878901373284,0.02355021447700691,0.5156950672645739,0.7897648376259798,0.01873719601134836,0.5180467091295117,0.8519101123595506,0.030831591705424717,0.5156950672645739,both,0.8519101123595506
228,LH,0.8116604244694132,0.022891028445507708,0.600896860986547,0.7878163493840986,0.04532856557631088,0.5944798301486199,0.8385767790262173,0.008735508456697051,0.600896860986547,both,0.8385767790262173
379,UHS,0.8139325842696629,0.04399905887827565,0.531390134529148,0.7175811870100783,0.02521860374340811,0.5329087048832272,0.8138576779026216,0.029194270067273532,0.531390134529148,stock,0.8139325842696629
