,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AFG,0.8322596754057429,0.04398403674599872,0.5794183445190156,0.7096752519596865,0.05800652868482815,0.576271186440678,0.8210486891385769,0.03662723056381559,0.5794183445190156,stock,0.8322596754057429
AFSI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AFT,0.84561797752809,0.03569625264499314,0.5861297539149888,0.7078611422172452,0.0566532574982869,0.5783898305084746,0.8143071161048689,0.05384533100127092,0.5861297539149888,stock,0.84561797752809
AG,0.8322596754057427,0.013560282428352664,0.5145413870246085,0.760582306830907,0.04807170526214217,0.5148305084745762,0.838976279650437,0.010619927806263335,0.5145413870246085,both,0.838976279650437
AGD,0.8096629213483146,0.04808820228247878,0.6353467561521253,0.7372676371780514,0.06646660281202495,0.6292372881355932,0.7805992509363295,0.04189146715532253,0.6353467561521253,stock,0.8096629213483146
AGI,0.82354556803995,0.057103767863220585,0.4854586129753915,0.8030011198208286,0.047694976705601806,0.4872881355932203,0.8324094881398253,0.04987015423380799,0.4854586129753915,both,0.8324094881398253
AGM,0.8033458177278403,0.05993354081120831,0.5861297539149888,0.711892497200448,0.026879003156461564,0.5805084745762712,0.7943071161048689,0.0545224596715595,0.5861297539149888,stock,0.8033458177278403
AGO,0.8051186017478151,0.051653418493133096,0.5436241610738255,0.7311086226203807,0.0460553541266806,0.5402542372881356,0.8075405742821473,0.02810942308623868,0.5436241610738255,both,0.8075405742821473
AGRO,0.8010237203495632,0.026732514193525705,0.5413870246085011,0.7414781634938409,0.032291998124292225,0.527542372881356,0.8030711610486891,0.025596065710672352,0.5413870246085011,both,0.8030711610486891
AHH,0.7784269662921348,0.05576997994900176,0.5302013422818792,0.6801791713325869,0.045516825382672106,0.5254237288135594,0.7896129837702872,0.05161100027709221,0.5302013422818792,both,0.7896129837702872
AHL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AHT,0.8546067415730336,0.049536567171212326,0.38926174496644295,0.7946248600223964,0.033748732015146145,0.3877118644067797,0.850087390761548,0.04880886716430708,0.38926174496644295,stock,0.8546067415730336
AI,0.784,0.04963869458396343,0.348,0.7490909090909091,0.061281089259464405,0.36727272727272725,0.808,0.034871191548325374,0.348,both,0.808
AIF,0.7919350811485643,0.025285580861437885,0.5906040268456376,0.6653079507278836,0.02192212233598514,0.5826271186440678,0.7651935081148563,0.03618505642329099,0.5906040268456376,stock,0.7919350811485643
AIG,0.7919350811485643,0.019612121525487768,0.6085011185682326,0.7542217245240761,0.03746642702600716,0.597457627118644,0.796354556803995,0.03738440626358049,0.6085011185682326,both,0.796354556803995
AINV,0.8188514357053682,0.023426260229607296,0.5324384787472036,0.7819932810750281,0.05827125815241727,0.5148305084745762,0.7921098626716605,0.03757013782735557,0.5324384787472036,stock,0.8188514357053682
AIT,0.8076654182272159,0.03819258484287427,0.5592841163310962,0.7139753639417693,0.033617491284717214,0.5572033898305084,0.8120848938826466,0.01639641649108918,0.5592841163310962,both,0.8120848938826466
AIV,0.8297378277153558,0.04948889568591476,0.5145413870246085,0.7672340425531915,0.05593231410614747,0.5127118644067796,0.8408988764044946,0.052435205987159006,0.5145413870246085,both,0.8408988764044946
AJG,0.8277403245942573,0.030592870546884424,0.6219239373601789,0.7458006718924972,0.022748520011202027,0.614406779661017,0.8164794007490638,0.027578476764571692,0.6219239373601789,stock,0.8277403245942573
AKO-A,0.7556304619225969,0.029402548775863468,0.4663677130044843,0.7330795072788354,0.03491130829309865,0.4682203389830508,0.7690636704119851,0.027086291471532613,0.4663677130044843,both,0.7690636704119851
AKR,0.8097378277153557,0.029808070367574106,0.5391498881431768,0.756528555431131,0.03480127853339699,0.5233050847457628,0.8007990012484395,0.04382706037005866,0.5391498881431768,stock,0.8097378277153557
