,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
ATLC,0.8200000000000001,0.045607017003965515,0.556,0.744,0.04800000000000001,0.56,0.812,0.03919183588453083,0.556,stock,0.8200000000000001
ATLO,0.776,0.04963869458396344,0.512,0.6880000000000001,0.027129319932501055,0.512,0.792,0.0466476151587624,0.512,both,0.792
ATNM,0.876,0.05851495535331115,0.48,0.684,0.046303347611160894,0.476,0.86,0.06449806198638838,0.48,stock,0.876
ATOS,0.8640000000000001,0.03878143885933063,0.456,0.7959999999999999,0.057131427428342804,0.492,0.868,0.037094473981982845,0.456,both,0.868
ATRA,0.804,0.026532998322843178,0.496,0.736,0.0557135531087365,0.504,0.792,0.02993325909419152,0.496,stock,0.804
ATRC,0.82,0.07899367063252599,0.596,0.752,0.06523802572120034,0.6,0.8119999999999999,0.05741080037762931,0.596,stock,0.82
ATRO,0.776,0.023323807579381222,0.5,0.752,0.07110555533852471,0.472,0.752,0.0499599839871872,0.5,stock,0.776
ATRS,0.844,0.046303347611160915,0.552,0.736,0.04270831300812524,0.556,0.836,0.05276362383309169,0.552,stock,0.844
ATSG,0.7719999999999999,0.023999999999999973,0.588,0.68,0.04195235392680606,0.596,0.756,0.026532998322843223,0.588,stock,0.7719999999999999
ATVI,0.768,0.03709447398198282,0.6,0.784,0.03666060555964671,0.608,0.764,0.03199999999999999,0.6,covid,0.784
AUBN,0.828,0.032496153618543834,0.484,0.72,0.04195235392680605,0.492,0.8119999999999999,0.02039607805437111,0.484,stock,0.828
AUDC,0.8400000000000001,0.033466401061363026,0.484,0.784,0.0752595508889071,0.492,0.8560000000000001,0.04963869458396344,0.484,both,0.8560000000000001
AUPH,0.78,0.05513619500836085,0.488,0.7240000000000001,0.06118823416311341,0.508,0.7799999999999999,0.04732863826479695,0.488,stock,0.78
AVAV,0.7959999999999999,0.0512249938994628,0.592,0.724,0.023323807579381222,0.608,0.7879999999999999,0.037094473981982796,0.592,stock,0.7959999999999999
AVEO,0.8959999999999999,0.03440930106817051,0.476,0.8,0.021908902300206624,0.496,0.8720000000000001,0.043081318457076065,0.476,stock,0.8959999999999999
AVHI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AVID,0.7799999999999999,0.04,0.632,0.724,0.1162067123706716,0.604,0.7999999999999999,0.045607017003965515,0.632,both,0.7999999999999999
AVNW,0.76,0.045607017003965515,0.656,0.72,0.028284271247461894,0.64,0.76,0.03577708763999663,0.656,stock,0.76
