,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AGI,0.828,0.041182520563947986,0.516,0.768,0.04118252056394801,0.496,0.836,0.0344093010681705,0.516,both,0.836
AGM,0.784,0.0344093010681705,0.584,0.6759999999999999,0.09068627239003707,0.568,0.7600000000000001,0.025298221281347063,0.584,stock,0.784
AGO,0.82,0.03794733192202054,0.5,0.72,0.06449806198638838,0.5,0.8160000000000001,0.04079215610874226,0.5,stock,0.82
AGRO,0.792,0.03249615361854382,0.576,0.7600000000000001,0.053665631459994964,0.548,0.784,0.023323807579381187,0.576,stock,0.792
AHH,0.8,0.012649110640673493,0.544,0.708,0.0370944739819828,0.54,0.78,0.033466401061363026,0.544,stock,0.8
AHL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AHT,0.8400000000000001,0.050596442562694056,0.372,0.808,0.015999999999999966,0.38,0.8640000000000001,0.054258639865002144,0.372,both,0.8640000000000001
AI,0.7759999999999999,0.0463033476111609,0.348,0.7799999999999999,0.05366563145999495,0.388,0.8240000000000001,0.05571355310873648,0.348,both,0.8240000000000001
AIF,0.836,0.05571355310873649,0.628,0.724,0.04270831300812525,0.596,0.8160000000000001,0.038781438859330615,0.628,stock,0.836
AIG,0.792,0.044899888641287286,0.604,0.772,0.04118252056394801,0.584,0.8039999999999999,0.03878143885933061,0.604,both,0.8039999999999999
AINV,0.844,0.06374950980203688,0.56,0.7719999999999999,0.027129319932501096,0.52,0.8240000000000001,0.055713553108736484,0.56,stock,0.844
AIT,0.808,0.06523802572120038,0.6,0.7280000000000001,0.016000000000000014,0.6,0.82,0.06572670690061995,0.6,both,0.82
AIV,0.8039999999999999,0.0463033476111609,0.488,0.768,0.06273754856543248,0.448,0.792,0.04833218389437829,0.488,stock,0.8039999999999999
AJG,0.8119999999999999,0.044899888641287286,0.636,0.7520000000000001,0.0466476151587624,0.608,0.8320000000000001,0.04308131845707603,0.636,both,0.8320000000000001
AKO-A,0.764,0.046303347611160915,0.524,0.696,0.05851495535331118,0.524,0.7639999999999999,0.038781438859330636,0.524,stock,0.764
AKR,0.776,0.014966629547095779,0.512,0.748,0.029933259094191558,0.476,0.7559999999999999,0.02653299832284322,0.512,stock,0.776
ALEX,0.7840000000000001,0.02939387691339812,0.516,0.6759999999999999,0.10983624174196785,0.504,0.7600000000000001,0.03577708763999663,0.516,stock,0.7840000000000001
ALK,0.836,0.054258639865002144,0.608,0.676,0.05851495535331118,0.568,0.836,0.04079215610874226,0.608,stock,0.836
ALL,0.82,0.07155417527999325,0.596,0.736,0.07735631842325487,0.576,0.8160000000000001,0.07088018058667742,0.596,stock,0.82
ALLE,0.8560000000000001,0.0557135531087365,0.592,0.764,0.04270831300812524,0.524,0.86,0.052153619241621166,0.592,both,0.86
ALLY,0.82,0.05215361924162119,0.736,0.772,0.054552726787943435,0.704,0.8,0.050596442562694056,0.736,stock,0.82
ALSN,0.8039999999999999,0.01496662954709573,0.556,0.6679999999999999,0.06764613810115103,0.528,0.8039999999999999,0.03440930106817049,0.556,stock,0.8039999999999999
AMC,0.828,0.07959899496852961,0.484,0.784,0.03666060555964671,0.468,0.8560000000000001,0.061188234163113406,0.484,both,0.8560000000000001
AME,0.776,0.052763623833091654,0.628,0.7080000000000001,0.03249615361854382,0.608,0.7839999999999999,0.04270831300812523,0.628,both,0.7839999999999999
AMG,0.8039999999999999,0.052763623833091675,0.6,0.768,0.041182520563948,0.568,0.792,0.06764613810115103,0.6,stock,0.8039999999999999
AMH,0.788,0.048332183894378274,0.604,0.6679999999999999,0.09431860898041275,0.556,0.8,0.0632455532033676,0.604,both,0.8
AMIVF,0.9297584541062802,0.029041170385386183,0.6096491228070176,0.784,0.061188234163113434,0.328,0.9209661835748791,0.026520991163568375,0.6096491228070176,stock,0.9297584541062802
AMP,0.784,0.042708313008125234,0.664,0.6839999999999999,0.0637495098020369,0.628,0.7959999999999999,0.04630334761116089,0.664,both,0.7959999999999999
AMT,0.74,0.05215361924162118,0.448,0.6880000000000001,0.015999999999999966,0.412,0.7399999999999999,0.025298221281347056,0.448,stock,0.74
ANET,0.828,0.027129319932501058,0.608,0.792,0.03709447398198281,0.592,0.8400000000000001,0.04898979485566357,0.608,both,0.8400000000000001
ANF,0.82,0.055136195008360894,0.628,0.772,0.044899888641287314,0.592,0.792,0.07959899496852958,0.628,stock,0.82
ANR,0.8967816091954022,0.057976628655066045,0.3698630136986301,0.992,0.00979795897113272,0.02,0.8832183908045976,0.052045489620397706,0.3698630136986301,covid,0.992
AOD,0.776,0.05425863986500212,0.628,0.708,0.053065996645686404,0.604,0.776,0.03878143885933067,0.628,stock,0.776
APAM,0.784,0.05851495535331118,0.632,0.7240000000000001,0.04079215610874226,0.596,0.776,0.06374950980203692,0.632,stock,0.784
APB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
APD,0.8320000000000001,0.04308131845707603,0.604,0.6960000000000001,0.06374950980203692,0.556,0.8280000000000001,0.043081318457076016,0.604,stock,0.8320000000000001
APL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
AR,0.852,0.04833218389437827,0.648,0.716,0.046303347611160915,0.616,0.86,0.057965506984757734,0.648,both,0.86
